vol_z,vol_5bar_slope,vol_ratio,atr_pts,atr_ratio,atr_5bar_roc,rsi_level,rsi_3bar_slope,rsi_5bar_slope,ema20_3bar_slope,ema20_5bar_slope,body_ratio,close_pos,price_5bar_mom,spread,hour,day_of_week,target
1.205,0.0648,0.957,312.5,1.289,0.1673,34.97,-2.618,-7.214,-0.39,0.21,0.662,0.9,-1.776,15,17,4,1
2.821,0.3688,2.286,191.8,0.901,-0.0043,67.21,2.646,0.342,2.56,3.81,0.362,0.378,0.631,15,8,0,0
0.989,-0.0818,1.016,205.8,0.993,0.0728,53.89,0.835,-13.323,2.21,3.87,0.174,0.494,-1.273,15,10,0,1
0.723,-0.0255,0.94,283.3,1.101,0.0083,38.84,-3.887,-1.895,0.34,2.12,0.594,0.372,-0.364,15,17,0,1
1.546,-0.0076,1.07,172.1,1.24,0.4146,60.75,21.283,5.49,0.6,1.14,0.942,0.967,0.982,15,10,1,1
1.285,0.3551,2.255,174.4,1.023,0.0344,56.95,3.921,3.189,0.82,1.75,0.649,0.686,0.808,15,8,4,1
0.176,-0.0644,0.786,297.7,1.256,0.0345,49.54,2.098,-7.448,0.36,1.23,0.73,0.981,-1.182,15,17,4,0
1.074,0.1015,1.323,159.8,0.898,-0.0698,40.71,4.314,3.029,-0.52,-0.16,0.506,0.767,-0.025,15,15,0,1
0.504,-0.0251,0.938,198.8,1.153,0.1869,54.04,11.651,-10.683,0.31,-0.09,0.73,0.878,-1.061,15,17,0,0
1.374,0.0365,1.059,157.9,1.041,0.1481,60.64,0.207,2.825,-0.2,-0.67,0.151,0.675,0.564,15,9,1,0
1.382,-0.0039,0.954,264.2,1.314,0.2607,43.44,-8.495,5.883,-1.13,-1.57,0.018,0.202,-0.011,15,15,1,0
1.362,0.0544,1.087,213.1,1.218,0.1987,41.38,-2.294,-5.803,-2.02,-3.36,0.565,0.257,-0.831,15,10,2,0
2.008,0.2388,1.223,218.2,1.338,0.3619,64.21,-1.121,0.055,2.3,3.65,0.486,0.596,0.619,15,15,3,1
0.621,-0.0269,1.033,303.9,1.459,0.1662,40.46,-7.146,0.942,-1.39,-1.45,0.196,0.598,-0.28,15,17,4,1
1.497,0.0964,1.32,186.0,1.176,0.1569,63.15,12.853,15.352,-0.35,-0.78,0.667,0.682,2.011,15,15,0,0
1.163,-0.0059,0.958,224.2,1.105,0.1299,50.2,6.236,-7.831,0.84,1.76,0.648,0.869,-1.187,15,16,1,1
0.537,-0.0555,0.926,163.3,1.253,0.1956,30.37,-5.942,-4.698,-0.65,-0.63,0.776,0.177,-1.115,15,11,3,0
2.036,0.2315,1.312,194.7,1.174,0.2154,33.65,-7.547,-9.183,-0.78,-1.28,0.5,0.411,-2.034,15,15,3,0
1.569,0.083,1.154,129.6,1.012,0.0237,44.38,-0.689,4.759,-0.9,-1.41,0.169,0.612,0.556,15,9,4,0
0.83,0.025,0.871,157.0,1.203,0.2072,50.25,2.919,1.797,-0.6,-1.32,0.503,0.421,0.261,15,10,4,1
1.495,0.1233,1.477,166.7,1.088,0.0414,35.04,-7.099,-0.508,-1.7,-2.0,0.689,0.298,-0.6,15,14,4,1
0.793,-0.0153,0.955,442.2,1.753,0.2033,40.87,5.054,-2.934,-0.41,-1.76,0.179,0.961,-0.864,15,17,4,1
0.919,0.0511,1.145,257.9,1.174,0.0632,45.69,-13.574,-4.776,-1.06,-2.25,0.52,0.243,-0.326,15,11,1,1
0.225,-0.0603,0.79,319.2,1.121,0.0385,41.07,-2.52,6.089,-3.1,-4.25,0.013,0.055,0.576,15,16,1,1
0.344,0.2166,1.427,177.4,0.972,0.0633,59.41,5.392,-3.514,-0.04,0.05,0.789,0.798,-0.006,15,8,2,1
0.342,-0.0049,0.858,355.0,1.184,0.0308,45.08,-6.003,-16.591,1.21,3.04,0.526,0.837,-2.155,15,17,2,0
1.461,-0.0053,1.012,279.8,1.222,0.2122,45.58,-14.504,-3.642,0.65,1.1,0.676,0.137,-0.25,15,16,4,1
0.842,-0.0355,0.909,245.3,1.203,0.1344,49.19,-8.981,5.653,-0.38,-0.92,0.461,0.305,0.62,15,16,1,0
0.901,-0.0743,0.892,239.0,1.203,0.2561,40.06,-13.472,-4.067,-1.47,-2.78,0.782,0.213,-0.879,15,11,2,0
1.311,0.1492,1.312,167.2,1.088,0.1477,47.96,0.369,13.534,-0.17,-0.64,0.08,0.093,1.292,15,9,3,0
0.8,-0.0729,0.83,200.7,1.22,0.177,54.02,-8.616,3.901,0.09,-0.13,0.017,0.309,0.802,15,11,3,1
0.726,0.0828,1.579,160.8,0.964,0.0683,51.31,-3.164,6.526,-0.92,-1.75,0.068,0.384,0.734,15,8,4,1
1.366,0.0725,0.98,247.4,1.154,0.2051,40.34,2.062,-4.14,0.34,1.55,0.711,0.75,-1.285,15,15,0,0
1.942,0.1381,1.224,259.4,1.15,0.0852,33.61,-4.55,3.35,-0.54,0.35,0.723,0.238,-0.305,15,16,0,1
1.208,0.0192,0.968,215.6,1.264,0.2803,38.64,-9.688,0.875,-0.67,-0.83,0.453,0.387,-0.26,15,15,1,0
2.381,0.101,1.257,240.0,1.287,0.1167,36.24,-8.33,-6.33,-0.82,-1.27,0.361,0.627,-1.029,15,16,1,0
0.435,0.204,1.073,114.6,1.005,0.0823,49.59,-3.638,-1.351,-0.27,-0.31,0.01,0.177,-0.009,15,8,2,1
1.298,0.0332,1.003,263.7,1.226,0.1128,69.82,-4.838,1.085,0.96,0.9,0.038,0.405,1.088,15,16,2,1
1.102,0.2199,1.305,121.1,0.992,-0.0025,36.37,-1.919,4.733,-0.83,-0.73,0.235,0.068,0.182,15,8,3,0
0.732,0.0323,0.894,238.7,1.336,0.4112,31.02,-3.682,-0.466,-1.1,-1.78,0.294,0.695,-1.755,15,15,3,1
1.095,-0.0925,0.899,440.7,1.777,0.7632,54.41,-10.611,28.297,-0.36,-1.51,0.224,0.073,3.075,15,16,3,1
2.447,0.2305,1.802,200.4,1.164,0.2552,27.16,-14.984,-8.013,-2.4,-3.56,0.824,0.175,-2.774,15,8,4,0
2.26,0.0604,1.387,232.4,1.296,0.129,28.83,-4.533,-2.566,-3.05,-4.41,0.637,0.275,-1.433,15,10,4,0
0.791,-0.0561,0.953,243.3,1.254,0.1988,34.04,-6.602,-2.81,-3.01,-4.63,0.36,0.47,-1.632,15,11,4,1
0.593,-0.037,0.886,404.4,1.298,0.0663,65.38,2.015,12.818,-1.5,-3.92,0.002,0.222,1.733,15,17,4,0
1.127,0.0015,1.046,170.0,0.918,0.0081,56.95,4.554,-4.299,1.15,2.42,0.778,0.778,-0.4,15,10,0,0
1.044,0.0183,1.051,162.8,0.933,-0.0421,41.75,0.77,-15.207,0.54,1.8,0.102,0.307,-2.278,15,11,0,0
1.051,0.0624,1.324,179.9,1.063,0.0836,51.02,3.428,17.526,-0.36,-0.51,0.785,0.848,2.028,15,15,0,0
1.013,0.1386,1.221,127.4,0.975,0.0236,52.52,-6.84,-8.152,0.61,1.04,0.65,0.275,-0.565,15,9,1,1
