open_time,trade_id,direction,entry_price,exit_price,pnl_usd,exit_reason,grade,hour,day_of_week,session,m15_atr,m15_atr_ratio,m15_rsi,m15_vol_z,m15_body_ratio,m15_spread,vol_spike,vol_abnormal,h4_trend,h4_ema20,h4_rsi,h4_atr,counter_trend,h4_trend_strength,h4_consec_bear,h4_consec_bull,price_extension,group
2024-04-09 14:15:00+00:00,857,LONG,2354.92,2349.7,-99.18,SL,B,14,Tuesday,NY,335.2,1.2,53.2,-0.1,0.31,15.0,False,False,UP,2320.71,66.7,1696.6,False,3868.2,1,0,1.69,LOSS
2024-04-10 15:30:00+00:00,858,SHORT,2338.1899999999996,2344.52,-126.6,SL,A+,15,Wednesday,NY,408.9,1.62,26.1,4.1,0.53,15.0,False,True,UP,2333.68,57.0,1644.1,True,3716.4,2,0,0.29,LOSS
2024-04-16 08:00:00+00:00,865,LONG,2387.73,2382.3199999999997,-97.38,SL,B,8,Tuesday,London,350.8,0.65,59.1,-0.5,0.53,15.0,False,False,UP,2363.97,54.6,2162.8,False,2215.9,1,0,0.26,LOSS
2024-04-17 14:30:00+00:00,866,LONG,2388.76,2383.7999999999997,-99.2,SL,B,14,Wednesday,NY,320.5,0.95,54.6,-1.68,0.44,15.0,False,False,UP,2374.85,56.1,1933.4,False,1947.6,1,0,0.44,LOSS
2024-04-26 15:30:00+00:00,877,LONG,2348.32,2343.2999999999997,-130.52,SL,A+,15,Friday,NY,321.7,1.27,59.5,3.35,0.61,15.0,False,True,DOWN,2333.8,52.5,1575.6,True,1120.8,1,0,0.7,LOSS
2024-05-02 14:45:00+00:00,881,SHORT,2298.95,2303.9100000000003,-99.2,SL,B,14,Thursday,NY,318.8,0.99,34.1,-1.59,0.02,15.0,False,False,DOWN,2310.72,39.3,1402.2,False,1521.9,3,0,1.16,LOSS
2024-05-06 14:00:00+00:00,883,LONG,2321.23,2316.95,-98.44,SL,B,14,Monday,NY,272.0,0.88,63.7,-0.67,0.55,15.0,False,False,DOWN,2308.31,58.0,1502.4,True,529.6,0,3,1.0,LOSS
2024-05-07 14:45:00+00:00,884,SHORT,2312.27,2316.15,-100.88,SL,B,14,Tuesday,NY,246.4,1.0,37.0,-0.13,0.9,15.0,False,False,DOWN,2314.28,50.6,1320.2,False,137.3,0,1,0.13,LOSS
2024-05-13 14:30:00+00:00,888,SHORT,2342.37,2346.94,-132.53,SL,A+,14,Monday,NY,291.7,1.3,39.4,1.24,0.2,15.0,False,False,UP,2342.54,54.5,1254.8,True,1132.7,0,1,0.36,LOSS
2024-05-14 08:30:00+00:00,889,LONG,2345.51,2342.49,-132.88,SL,A+,8,Tuesday,London,189.9,0.82,63.5,1.11,0.74,15.0,False,False,UP,2341.41,52.5,1133.8,False,1179.5,1,0,0.21,LOSS
2024-05-15 15:30:00+00:00,891,LONG,2375.71,2369.7499999999995,-125.16,SL,A+,15,Wednesday,NY,384.6,2.03,69.1,3.83,0.82,15.0,True,True,UP,2351.51,69.3,1167.7,False,1424.4,1,0,1.8,LOSS
2024-05-21 13:30:00+00:00,899,SHORT,2417.31,2422.9700000000003,-96.22,SL,B,13,Tuesday,NY,364.8,0.98,50.8,-0.99,0.27,15.0,False,False,UP,2408.55,62.7,1529.7,True,2708.9,0,2,1.16,LOSS
2024-05-22 10:15:00+00:00,900,SHORT,2412.95,2417.57,-97.02,SL,B,10,Wednesday,London,298.8,1.04,40.6,0.38,0.73,15.0,False,False,UP,2412.44,56.5,1353.5,True,2406.1,0,1,0.33,LOSS
2024-05-27 09:15:00+00:00,907,LONG,2344.44,2340.58,-96.5,SL,B,9,Monday,London,245.6,0.98,58.3,0.41,0.64,15.0,False,False,DOWN,2356.56,36.9,1252.1,True,1366.8,0,2,0.99,LOSS
2024-05-29 15:45:00+00:00,909,SHORT,2337.62,2342.75,-128.25,SL,A+,15,Wednesday,NY,329.6,1.39,27.9,2.49,0.57,15.0,False,True,DOWN,2352.74,37.2,1143.6,False,1301.0,2,0,1.32,LOSS
2024-06-03 10:30:00+00:00,914,SHORT,2324.39,2329.56,-98.23,SL,B,10,Monday,London,333.5,1.08,52.2,-0.29,0.25,15.0,False,False,DOWN,2338.63,39.9,1236.8,False,1493.9,0,1,1.06,LOSS
2024-06-06 15:15:00+00:00,919,LONG,2361.01,2357.18,-130.22,SL,A+,15,Thursday,NY,242.8,1.02,47.1,3.68,0.64,15.0,False,True,UP,2347.07,56.1,1216.7,False,346.7,2,0,0.86,LOSS
2024-06-11 08:30:00+00:00,922,SHORT,2299.24,2302.89,-131.4,SL,A+,8,Tuesday,London,231.5,0.97,34.6,0.89,0.47,15.0,False,False,DOWN,2320.73,40.6,1376.8,False,1236.0,0,1,1.07,LOSS
2024-06-13 10:00:00+00:00,925,SHORT,2314.62,2318.8300000000004,-130.51,SL,A+,10,Thursday,London,271.8,0.71,51.0,0.59,0.43,15.0,False,False,DOWN,2319.96,47.4,1363.6,False,709.8,0,1,0.32,LOSS
2024-06-18 15:15:00+00:00,928,SHORT,2312.41,2316.21,-129.2,SL,A+,15,Tuesday,NY,241.3,1.22,45.2,1.39,0.22,15.0,False,False,DOWN,2319.02,46.5,1185.5,False,206.6,0,1,0.43,LOSS
2024-06-20 09:45:00+00:00,929,LONG,2344.13,2340.5699999999997,-128.16,SL,A+,9,Thursday,London,226.3,1.16,69.0,0.87,0.43,15.0,False,False,UP,2327.34,57.3,946.7,False,37.4,1,0,0.63,LOSS
2024-06-25 10:30:00+00:00,933,SHORT,2324.6099999999997,2327.91,-128.7,SL,A+,10,Tuesday,London,210.1,1.03,41.3,0.57,0.69,15.0,False,False,UP,2333.35,46.3,997.4,True,299.1,0,1,0.38,LOSS
2024-07-02 10:45:00+00:00,942,LONG,2330.8300000000004,2327.28,-138.45,SL,A+,10,Tuesday,London,227.5,1.05,53.1,0.66,0.96,15.0,False,False,UP,2326.17,58.3,950.0,False,145.4,0,1,0.53,LOSS
2024-07-04 08:45:00+00:00,946,LONG,2356.9,2353.9399999999996,-139.12,SL,A+,8,Thursday,London,184.5,0.81,44.6,1.02,0.25,15.0,False,False,UP,2341.66,74.1,963.4,False,724.1,0,1,1.78,LOSS
2024-07-11 09:45:00+00:00,954,LONG,2381.8700000000003,2379.14,-144.69,SL,A+,9,Thursday,London,170.7,0.93,61.0,1.17,0.84,15.0,False,False,UP,2370.55,63.4,940.3,False,1128.4,1,0,1.15,LOSS
2024-07-12 15:30:00+00:00,955,SHORT,2392.5299999999997,2397.32,-138.91,SL,A+,15,Friday,NY,306.2,1.33,25.0,3.95,0.9,15.0,False,True,UP,2389.34,59.9,1166.1,True,1754.8,4,0,0.74,LOSS
2024-07-17 08:30:00+00:00,960,LONG,2467.8900000000003,2462.28,-100.98,SL,B,8,Wednesday,London,363.2,1.03,46.1,0.17,0.61,15.0,False,False,UP,2434.94,79.5,1362.1,False,2825.8,0,1,2.94,LOSS
2024-07-18 08:15:00+00:00,961,LONG,2469.02,2465.0899999999997,-102.18,SL,B,8,Thursday,London,250.0,0.74,63.4,-0.23,0.04,15.0,False,False,UP,2447.6,67.7,1303.8,False,2837.2,0,4,1.41,LOSS
2024-07-23 15:30:00+00:00,965,LONG,2408.15,2403.1699999999996,-139.44,SL,A+,15,Tuesday,NY,319.8,1.27,61.2,2.18,0.57,15.0,False,True,DOWN,2412.16,43.7,1253.9,True,157.9,0,2,0.53,LOSS
2024-07-24 09:00:00+00:00,966,LONG,2418.98,2414.99,-135.66,SL,A+,9,Wednesday,London,254.0,1.05,64.4,1.38,0.9,15.0,False,False,DOWN,2411.73,48.3,1105.6,True,316.7,1,0,0.01,LOSS
2024-07-25 08:15:00+00:00,967,SHORT,2371.95,2378.25,-100.8,SL,B,8,Thursday,London,407.9,1.02,28.4,-0.96,0.92,15.0,False,False,DOWN,2404.19,31.1,1388.9,False,940.2,2,0,2.13,LOSS
2024-07-29 09:00:00+00:00,970,LONG,2394.51,2390.2,-133.61,SL,A+,9,Monday,London,276.2,0.86,53.3,0.6,0.56,15.0,False,False,DOWN,2389.06,50.3,1331.5,True,1245.5,2,0,0.09,LOSS
2024-07-30 13:45:00+00:00,971,LONG,2391.65,2388.2,-100.05,SL,B,13,Tuesday,NY,217.0,1.02,65.4,-0.22,0.63,15.0,False,False,DOWN,2387.48,48.6,1227.7,True,1391.6,1,0,0.08,LOSS
2024-08-02 08:45:00+00:00,973,LONG,2466.7900000000004,2460.86,-130.46,SL,A+,8,Friday,London,383.4,0.97,73.6,0.99,0.99,15.0,False,False,UP,2432.27,71.3,1445.4,False,1757.4,0,4,2.06,LOSS
2024-08-14 13:45:00+00:00,980,LONG,2475.01,2470.84,-104.25,SL,B,13,Wednesday,NY,265.5,1.12,64.3,-1.05,0.64,15.0,False,False,UP,2453.98,64.3,1350.6,False,1553.5,1,0,1.09,LOSS
2024-08-23 15:45:00+00:00,994,LONG,2501.2900000000004,2497.6,-147.6,SL,A+,15,Friday,NY,234.2,1.05,65.1,2.03,0.26,15.0,False,True,UP,2498.78,52.5,1221.0,False,1144.6,0,5,0.2,LOSS
2024-08-29 14:00:00+00:00,1001,LONG,2522.7200000000003,2518.49,-114.21,SL,B,14,Thursday,NY,269.2,1.2,61.1,-0.51,0.26,15.0,False,False,UP,2510.89,49.6,1167.7,False,711.1,1,0,0.15,LOSS
2024-09-06 10:30:00+00:00,1005,LONG,2518.42,2515.6499999999996,-155.12,SL,A+,10,Friday,London,173.4,0.91,49.5,0.54,0.6,15.0,False,False,UP,2506.21,59.5,1032.5,False,121.9,1,0,1.13,LOSS
2024-09-25 08:00:00+00:00,1025,LONG,2659.4700000000003,2654.81,-130.48,SL,B,8,Wednesday,London,298.9,0.89,49.0,-0.7,0.25,15.0,False,False,UP,2631.37,70.1,1287.3,False,3086.1,2,0,1.91,LOSS
2024-09-26 08:15:00+00:00,1026,LONG,2663.36,2660.1699999999996,-172.26,SL,A+,8,Thursday,London,200.5,0.78,59.9,0.99,0.76,15.0,False,False,UP,2644.54,73.6,1179.4,False,2956.0,0,4,2.08,LOSS
