open_time,trade_id,direction,entry_price,exit_price,pnl_usd,exit_reason,grade,hour,day_of_week,session,m15_atr,m15_atr_ratio,m15_rsi,m15_vol_z,m15_body_ratio,m15_spread,vol_spike,vol_abnormal,h4_trend,h4_ema20,h4_rsi,h4_atr,counter_trend,h4_trend_strength,h4_consec_bear,h4_consec_bull,price_extension,group
2024-03-08 09:45:00+00:00,827,LONG,2161.3700000000003,2166.4488520013088,238.71,TP,A+,9,Friday,London,171.4,0.78,60.7,1.69,0.25,15.0,False,False,UP,2140.59,85.9,1005.9,False,3622.8,0,1,2.83,WIN
2024-03-19 10:30:00+00:00,836,SHORT,2155.31,2149.0601924852735,212.49,TP,B,10,Tuesday,London,177.2,1.11,34.2,0.39,0.13,15.0,False,False,UP,2160.09,42.1,816.9,True,111.5,2,0,0.86,WIN
2024-03-26 10:30:00+00:00,844,LONG,2173.98,2180.006288702349,295.29,TP,A+,10,Tuesday,London,163.8,1.0,61.1,0.98,0.98,15.0,False,False,UP,2172.99,53.9,1070.8,False,240.0,0,1,0.49,WIN
2024-04-09 10:00:00+00:00,856,LONG,2354.8500000000004,2362.023920018973,200.87,TP,A+,10,Tuesday,London,298.2,0.96,75.7,1.51,0.99,15.0,False,False,UP,2317.68,71.9,1682.0,False,3852.6,0,4,2.37,WIN
2024-04-11 10:45:00+00:00,859,SHORT,2336.3799999999997,2326.6252683301445,253.62,TP,A+,10,Thursday,London,321.8,0.78,43.0,1.02,0.02,15.0,False,False,UP,2334.3,50.6,1672.3,True,2991.9,1,0,0.38,WIN
2024-04-15 09:30:00+00:00,864,SHORT,2358.0,2346.3616494450916,221.13,TP,A+,9,Monday,London,447.2,0.61,49.6,0.97,0.04,15.0,False,False,UP,2355.74,49.5,2146.5,True,2306.3,1,0,0.19,WIN
2024-05-17 13:00:00+00:00,894,LONG,2383.7400000000002,2389.760711356356,150.52,TP,B,13,Friday,NY,239.3,1.28,54.0,-1.2,0.58,15.0,False,False,UP,2374.34,68.3,1112.2,False,1962.9,0,4,1.7,WIN
2024-06-07 15:30:00+00:00,920,SHORT,2319.6,2306.765624513415,179.68,TP,A+,15,Friday,NY,596.6,1.71,15.9,3.09,0.66,15.0,False,True,UP,2353.06,37.9,1609.3,True,599.5,2,0,2.1,WIN
2024-06-12 13:15:00+00:00,924,LONG,2313.84,2319.1094111527295,158.08,TP,B,13,Wednesday,NY,202.9,1.07,49.3,-0.94,0.41,15.0,False,False,DOWN,2319.25,56.6,1314.2,True,896.7,0,2,1.27,WIN
2024-06-21 10:30:00+00:00,930,LONG,2360.6600000000003,2367.896541160215,267.75,TP,A+,10,Friday,London,215.8,0.96,51.6,1.95,0.86,15.0,False,False,UP,2341.59,70.3,1061.0,False,1161.9,0,1,2.24,WIN
